CRASH_EVENT_ID	CRASH_ID	SEQ_NO	EVENT_ID	EVENT_OTHER_DESC
6211385	3719986	1	13	
6211386	3719987	1	13	
6211387	3719988	1	18	
6211388	3719988	2	3	
6211389	3719989	1	98	CABLE BARRIER
6211390	3719990	1	98	CABLE BARRIER
6211391	3719990	2	18	
6211392	3719991	1	98	CROSS CENTERLINE
6211393	3719991	2	2	
6211394	3719991	3	3	
6211395	3719992	1	13	
6211396	3719993	1	13	
6211397	3719994	1	13	
6211398	3719995	1	13	
6211399	3719996	1	98	CONCRETE BARRIER
6211400	3719997	1	13	
6211401	3719998	1	13	
6211402	3719999	1	18	
6211404	3720001	1	20	
6211405	3720002	1	20	
6211408	3720005	1	3	
6211410	3720007	1	20	
6211415	3720012	1	20	
6211418	3720015	1	20	
6211419	3720016	1	20	
6211420	3720017	1	3	
6211429	3718594	1	13	
6211430	3718594	2	1	
6211431	3718594	3	18	
6211432	3718594	4	18	
6211433	3718595	1	13	
6211434	3718595	2	1	
6211435	3718595	3	18	
6211436	3718596	1	13	
6211437	3718597	1	13	
6211438	3718599	1	1	
6211439	3718599	2	18	
6211440	3718600	1	13	
6211441	3718601	1	13	
6211442	3718602	1	13	
6211443	3718604	1	13	
6211444	3718605	1	13	
6211445	3718607	1	14	
6211446	3718608	1	13	
6211447	3718609	1	13	
6211514	3720036	1	13	
6211515	3720036	2	14	
6211517	3720038	1	14	
6211518	3720039	1	12	
6211553	3719469	1	1	
6211554	3719469	2	18	
6211555	3719469	3	18	
6211556	3719470	1	13	
6211557	3719471	1	13	
6211558	3719472	1	13	
6211559	3719473	1	1	
6211560	3719475	1	1	
6211561	3719475	2	18	
6211562	3719475	3	3	
6211563	3719476	1	1	
6211564	3719476	2	98	DITCH
6211565	3719476	3	18	
6211566	3719477	1	13	
6211567	3719477	2	13	
6211568	3719478	1	10	
6211569	3719479	1	1	
6211570	3719479	2	2	
6211571	3719479	3	18	
6211572	3720054	1	13	
6211573	3720055	1	98	DITCH
6211574	3720055	2	18	
6211575	3720055	3	18	
6211576	3720055	4	98	DITCH
6211578	3719481	1	13	
6211579	3719482	1	13	
6211580	3719483	1	13	
6211581	3719483	2	18	
6211583	3719485	1	18	
6211584	3719486	1	13	
6211586	3719489	1	1	
6211587	3719492	1	9	
6211588	3719492	2	13	
6205811	3716841	1	13	
6205812	3716841	2	18	
6205813	3716842	1	13	
6205815	3716843	1	13	
6205816	3716844	1	13	
6205817	3716845	1	13	
6205818	3716846	1	13	
6205819	3716846	2	13	
6205822	3716848	1	13	
6205823	3716848	2	3	
6205872	3716885	1	18	
6205873	3716886	1	1	
6205874	3716886	2	3	
6205875	3716887	1	1	
6205876	3716887	2	18	
6205879	3716890	1	1	
6205880	3716890	2	18	
6205884	3716893	1	18	
6205885	3716893	2	2	
6205888	3716895	1	3	
6205889	3716896	1	20	
6205890	3716897	1	3	
6205891	3716898	1	3	
6205892	3716898	2	5	
6205893	3716898	3	10	
6205894	3716898	4	10	
6205895	3716899	1	2	
6205896	3716900	1	18	
6205897	3716901	1	13	
6205898	3716902	1	2	
6205899	3716902	2	18	
6205900	3716903	1	18	
6205901	3716904	1	18	
6205902	3716905	1	18	
6205903	3716906	1	17	
6205904	3716906	2	18	
6205906	3716908	1	3	
6205907	3716909	1	1	
6205908	3716909	2	18	
6205909	3716910	1	13	
6205910	3716911	1	13	
6205911	3716912	1	13	
6206040	3716979	1	13	
6206065	3716994	1	13	
6206066	3716994	2	20	
6206067	3716994	3	1	
6206068	3716994	4	18	
6206069	3716995	1	98	Struck by obj/diff vehicle/Col
6206070	3716995	2	98	Other/misc
6206071	3716996	1	5	
6206072	3716996	2	98	Other/misc
6206073	3716997	1	1	
6206074	3716997	2	13	
6206076	3716999	1	9	
6206077	3716999	2	3	
6206078	3717000	1	13	
6206079	3717001	1	13	
6206080	3717002	1	18	
6206081	3717002	2	18	
6206082	3717003	1	13	
6206083	3717004	1	18	
6206084	3717005	1	98	THROWN OR FALLING OBJECT
6206085	3717006	1	13	
6206087	3717008	1	13	
6206092	3717010	1	13	
6206093	3717011	1	13	
6206003	3716373	1	13	
6206004	3716954	1	13	
6206006	3716956	1	13	
6206014	3716962	1	1	
6206015	3716962	2	8	
6206016	3716962	3	3	
6206017	3716962	4	18	
6206019	3716964	1	13	
6206020	3716965	1	14	
6206021	3716966	1	13	
6206022	3716967	1	13	
6206025	3716969	1	8	
6206026	3716969	2	3	
6206027	3716970	1	1	
6206028	3716970	2	18	
6206029	3716970	3	3	
6206030	3716971	1	13	
6206035	3716975	1	3	
6206036	3716976	1	13	
6206037	3716977	1	13	
6206038	3716978	1	13	
6206039	3716978	2	13	
6206094	3717012	1	13	
6206095	3717013	1	13	
6206096	3717014	1	13	
6205053	3716358	2	1	
6205054	3716358	3	18	
6205055	3716359	1	13	
6205056	3716360	1	13	
6205057	3716361	1	8	
6205058	3716361	2	1	
6205059	3716361	3	2	
6205060	3716362	1	13	
6205061	3716362	2	1	
6205062	3716362	3	3	
6205063	3716363	1	8	
6205064	3716363	2	1	
6205065	3716363	3	18	
6205066	3716363	4	3	
6205067	3716364	1	1	
6205068	3716364	2	8	
6205069	3716364	3	1	
6205070	3716364	4	3	
6205071	3716365	1	18	
6205072	3716366	1	13	
6205073	3716367	1	5	
6205074	3716367	2	8	
6205075	3716367	3	3	
6205076	3716368	1	13	
6205077	3716369	1	1	
6205078	3716369	2	18	
6205083	3716372	1	13	
6205085	3716374	1	13	
6205086	3716374	2	8	
6205087	3716374	3	1	
6205088	3716374	4	18	
6205089	3716375	1	13	
6205091	3716377	1	13	
6205109	3716380	1	13	
6205110	3716380	2	1	
6205111	3716380	3	18	
6205112	3716380	4	18	
6205114	3716382	1	13	
6205115	3716383	1	13	
6205116	3716384	1	13	
6205117	3716385	1	1	
6205118	3716385	2	18	
6205119	3716385	3	18	
6205120	3716386	1	1	
6205121	3716386	2	18	
6205122	3716386	3	18	
6205124	3716388	1	1	
6205125	3716388	2	18	
6205126	3716389	1	13	
6205127	3716390	1	13	
6205128	3716391	1	18	
6205129	3716392	1	13	
6205130	3716393	1	13	
6205131	3716394	1	13	
6205132	3716395	1	13	
6205134	3716397	1	13	
6205135	3716398	1	3	
6205136	3716399	1	13	
6205137	3716400	1	13	
6205139	3716401	1	13	
6205141	3716403	1	5	
6205142	3716403	2	13	
