INSP_STUDY_ID	INSPECTION_ID	STUDY	SEQ_NO
16407356	65635125	MEC CHECK CONFIRMED	7
16407357	65635045	TPK18	3
16407358	65635046	TPK18	3
16407360	65635135	MEC CHECK CONFIRMED	7
16407361	65635053	TPK18	3
16407362	65635054	TPK18	3
16407364	65635056	TPK18	3
16407365	65635052	TIMBER19	1
16407368	65635061	TIMBER19	1
16407371	65542581	MEC CHECK-CONFIRMED	7
16407372	65584555	MEC CHECK-CONFIRMED	7
16407373	65584525	GAS2019	1
16407377	65635081	MEC CHECK-CONFIRMED	7
16407378	65596825	TPK18	3
16407379	65596827	TPK18	3
16407380	65610231	TPK18	3
16407381	65671333	TPK18	3
16407382	65671338	MEC CHECK-CONFIRMED	7
16407383	65671347	GAS2019	1
16407384	65671348	GAS2019	1
16407386	65671350	TPK18	3
16407389	65671360	GAS2019	1
16407391	65671371	GAS2019	3
16407392	65671388	TIMBER19	1
16407394	65556277	MEC CHECK-CONFIRMED	7
16407395	65671410	GASD2019	1
16407396	65671410	MED CHECKED - CONFIRMED	7
16407397	65671422	MEC CHECK-CONFIRMED	7
16407398	65671423	MEC CHECK-CONFIRMED	7
16407399	65671424	MEC CHECK-CONFIRMED	7
16407400	65671441	TPK18	3
16407401	65671444	MED CHECKED - CONFIRMED	7
16407402	65671445	MED CHECKED - CONFIRMED	7
16407403	65671446	GAS2019	1
16407404	65671446	MED CHECKED - CONFIRMED	7
16407405	65584540	TPK18	3
16407407	65671453	MEC CHECK-CONFIRMED	7
16407408	65671456	TPK18	3
16407411	65671473	TPK18	3
16407412	65671474	TPK18	3
16407413	65671475	TPK18	3
16407416	65671479	TPK18	3
16407417	65584841	CARRIER   QC-OK	1
16407418	65584841	DRIVER QC-OK	2
16407419	65584841	21-PASS	3
16407422	65671836	MX	10
16407423	65671837	MX	10
16407424	65671838	MX	10
16407425	65671866	MX	10
16407426	65671875	MX	10
16407427	65671884	MX	10
16407433	65543640	N	1
16407435	65672603	BASIC	10
16407436	65672605	BASIC	10
16407437	65672609	BASIC	10
16407438	65672610	BASIC	10
16407439	65636414	BASIC	10
16407441	65672617	BASIC	10
16407443	65611289	BASIC	10
16407444	65611304	BASIC	10
16407447	65611290	BASIC	10
16407448	65611309	BASIC	10
16407449	65672622	BASIC	10
16407450	65672625	BASIC	10
16407451	65672626	BASIC	10
16407452	65672630	BASIC	10
16407455	65672633	BASIC	10
16407456	65672634	BASIC	10
16407460	65672640	BASIC	10
16407461	65672641	BASIC	10
16407462	65672642	BASIC	10
16407463	65672643	BASIC	10
16407464	65672644	BASIC	10
16407465	65672645	BASIC	10
16407467	65672654	BASIC	10
16407468	65672655	BASIC	10
16407469	65672656	BASIC	10
16407471	65672658	BASIC	10
16407472	65672659	BASIC	10
16407473	65672660	BASIC	10
16407474	65672661	BASIC	10
16407477	65672667	BASIC	10
16407478	65658404	BASIC	10
16407481	65672672	BASIC	10
16407482	65672673	BASIC	10
16407483	65672674	BASIC	10
16407484	65672675	BASIC	10
16407486	65672677	BASIC	10
16407487	65672679	BASIC	10
16407488	65672680	BASIC	10
16407489	65672681	BASIC	10
16407493	65672685	BASIC	10
16407494	65658441	BASIC	10
16407495	65658460	BASIC	10
16407496	65672688	BASIC	10
16407497	65672689	BASIC	10
16407498	65672690	BASIC	10
16407499	65672691	BASIC	10
16407500	65672692	BASIC	10
16407501	65672693	BASIC	10
16407502	65672694	BASIC	10
16407503	65672695	BASIC	10
16407504	65672696	BASIC	10
16407505	65672697	BASIC	10
16407506	65672698	BASIC	10
16407508	65658479	BASIC	10
16407509	65672700	BASIC	10
16407510	65672701	BASIC	10
16407512	65672703	BASIC	10
16407513	65672704	BASIC	10
16407514	65672709	BASIC	10
16407516	65672711	BASIC	10
16407517	65672712	BASIC	10
16407519	65672714	BASIC	10
16407520	65672717	BASIC	10
16407521	65672720	BASIC	10
16407522	65672721	BASIC	10
16407523	65672722	BASIC	10
16407524	65672723	19000	9
16407528	65672727	BASIC	10
16407529	65672728	BASIC	10
16407531	65672730	BASIC	10
16407532	65672731	BASIC	10
16407533	65672732	BASIC	10
16407536	65623682	BASIC	10
16407538	65672763	MED CHECK VERIFIED	7
16407539	65672763	BASIC	10
16407540	65672764	BASIC	10
16407541	65672765	BASIC	10
16407543	65672767	BASIC	10
16407545	65672779	MED CHECK VERIFIED	7
16407546	65672779	BASIC	10
16407547	65672781	MED CHECK VERIFIED	7
16407548	65672782	BASIC	10
16407551	65672785	BASIC	10
16407552	65543937	BASIC	10
16407553	65585038	BASIC	10
16407554	65658352	BASIC	10
16407555	65658355	BASIC	10
16407556	65672786	BASIC	10
16407557	65672789	BASIC	10
16407558	65585081	BASIC	10
16407559	65672795	BASIC	10
16407564	65672800	BASIC	10
16407567	65672805	BASIC	10
16407569	65658434	BASIC	10
16407570	65672806	BASIC	10
16407571	65672807	BASIC	10
16407572	65672812	BASIC	10
16407573	65672816	BASIC	10
16407574	65672817	BASIC	10
16407575	65672818	BASIC	10
16407576	65672819	BASIC	10
16407579	65672822	BASIC	10
16407580	65672823	BASIC	10
16407581	65672824	BASIC	10
16407583	65672827	BASIC	10
16407584	65672828	BASIC	10
16407585	65672829	BASIC	10
16407586	65672830	BASIC	10
16407587	65658651	FARM	1
16407588	65572129	A	1
16407591	65673355	YES	1
16407592	65673355	YES	2
16407597	65673538	YES	1
16407598	65673538	YES	2
16407599	65673589	YES	1
16407600	65673589	YES	2
16407601	65673699	YES	1
16407602	65673699	YES	2
16407605	65612127	2019-02	1
16407608	65675977	3206	1
16407609	65675978	3206	1
16407610	65675979	3200	1
16407611	65675979	D	2
16407612	65675980	3200	1
16407613	65675980	UT	2
16407614	65675981	3200	1
16407615	65675981	UT	2
16407616	65676000	3200	1
16407617	65676000	UT	2
16407618	65676001	3200	1
16407619	65676001	UT	2
16407620	65614910	FARM	3
16407621	65676903	FARM	3
16407622	65677046	FARM	3
16407623	65677825	I	1
16407624	65677826	I	1
16407625	65677829	I	1
16407627	65677831	I	1
16407628	65677832	I	1
16407629	65677856	I	1
16407630	65677893	I	1
16407631	65677894	I	1
16407632	65677895	I	1
16407633	65677896	I	1
16407634	65548896	I	1
16407635	65677897	I	1
16407636	65677900	I	1
16407637	65677901	I	1
16407638	65677902	I	1
16407639	65677904	I	1
16407640	65677905	I	1
16407641	65677907	I	1
16407642	65677908	I	1
16407643	65677909	I	1
16407644	65677910	I	1
16407646	65677917	I	1
16407649	65595609	SB	1
16407650	65683151	SB	1
16407651	65669558	SB DD	1
16407666	65683173	SB	1
16407668	65609292	SB	1
16407671	65609322	SB	1
16407672	65683189	SB	1
16407673	65633080	SB/DD	1
16407675	65595624	SB	1
16407677	65609324	SB	1
16407678	65654589	SB	1
16407679	65683197	SB	1
16407682	65683319	2	1
16407683	65683320	2	1
16407684	65683331	1	1
16407685	65683332	1	1
16407686	65683333	1	1
16407691	65683362	2	1
16407692	65683363	1	1
16407693	65683375	1	1
16407694	65683376	2	1
16407697	65683379	1	1
16407698	65683380	1	1
16407699	65683381	1	1
16407700	65683382	2	1
16407701	65683383	2	1
16407702	65683384	2	1
16407705	65683397	2	1
16407706	65683398	4	1
16407709	65683402	2	1
16407710	65683407	2	1
16407712	65683409	2	1
16407713	65683410	2	1
16407715	65683416	2	1
16407716	65683417	2	1
16407719	65683424	2	1
16407722	65683428	1	1
16407723	65683429	1	1
16407724	65683430	1	1
16407725	65683431	2	1
16407726	65683433	2	1
16407727	65683434	2	1
16407729	65683442	5	1
16407732	65683451	1	1
16407735	65655285	TM40	1
16407736	65684199	T198	1
16407737	65684200	T198	1
16407738	65684206	T198	1
16407740	65684208	T198	1
16407741	65684222	T198	1
16407742	65684223	T198	1
16407743	65684224	T198	1
16407744	65684291	TM40	1
16407745	65684292	TM40	1
16407748	65684338	TM40	1
16407750	65684340	TM40	1
16407752	65684354	TM40	1
16407753	65684416	NOT VERIFIED	7
16407754	65684417	VERIFIED	7
16407755	65684418	VERIFIED	7
16407756	65684479	MEC CHECK - CONFIRMED	7
16407757	65684480	MEC CHECK - NO CONTACT	7
16407758	65684538	7	1
16407759	65685082	GAS2019	1
16407760	65584560	TPK18	3
16407762	65685085	TPK18	3
16407763	65685086	TPK18	3
16407764	65685096	TPK18	3
16407765	65685097	TPK18	3
16407767	65685101	MED CHECKED - CONFIRMED	7
16407768	65685102	TPK18	3
16407769	65685103	TPK18	3
16407770	65685105	MED CHECKED - CONFIRMED	7
16407771	65685106	MED CHECKED - CONFIRMED	7
16407773	65685108	TPK18	3
16407775	65685134	MEC CHECK-CONFIRMED	7
16407776	65685135	MEC CHECK-CONFIRMED	7
16407777	65685136	MEC CHECK-CONFIRMED	7
16407778	65685161	MX	10
16407779	65685164	MX	10
16407780	65685213	MX	10
16407781	65685214	MX	10
16407782	65685215	MX	10
16407783	65685226	MX	10
16407784	65685724	BASIC	10
16407785	65598607	BASIC	10
16407786	65658354	BASIC	10
16407787	65685725	BASIC	10
16407788	65685726	BASIC	10
16407789	65685727	BASIC	10
16407790	65685728	BASIC	10
16407791	65685729	BASIC	10
16407792	65685730	BASIC	10
16407794	65685732	BASIC	10
16407795	65685733	BASIC	10
16407796	65685737	BASIC	10
16407797	65685746	BASIC	10
16407798	65685747	BASIC	10
16407801	65685750	BASIC	10
16407802	65685751	BASIC	10
16407803	65685752	BASIC	10
16407805	65685757	BASIC	10
16407806	65685758	BASIC	10
16407807	65685759	BASIC	10
16407808	65685760	BASIC	10
16407809	65685761	BASIC	10
16407810	65685762	BASIC	10
16407814	65685765	BASIC	10
16407815	65685766	BASIC	10
16407817	65685771	BASIC	10
16407823	65685790	BASIC	10
16407824	65685791	BASIC	10
16407825	65685798	BASIC	10
16407826	65685799	BASIC	10
16407827	65685810	BASIC	10
16407828	65685811	BASIC	10
16407829	65685812	BASIC	10
16407830	65685813	MEC CHECK-CONFIRMED	7
16407832	65685816	BASIC	10
16407833	65685817	BASIC	10
16407834	65685818	BASIC	10
16407835	65685823	BASIC	10
16407838	65557169	BASIC	10
16407839	65685826	BASIC	10
16407840	65685828	BASIC	10
16407841	65685830	MEC CHECK-CONFIRMED	7
16407842	65685831	MEC CHECK-CONFIRMED	7
16407848	65685842	BASIC	10
16407852	65685855	BASIC	10
16407853	65685856	BASIC	10
16407854	65685857	BASIC	10
16407855	65685858	BASIC	10
16407856	65685859	BASIC	10
16407860	65685865	BASIC	10
16407861	65685866	BASIC	10
16407862	65685869	BASIC	10
16407864	65623677	BASIC	10
16407865	65685884	BASIC	10
16407866	65685885	BASIC	10
16407869	65685894	BASIC	10
16407870	65685895	BASIC	10
16407871	65598684	BASIC	10
16407873	65685900	BASIC	10
16407875	65685902	BASIC	10
16407878	65685911	BASIC	10
16407879	65685912	BASIC	10
16407880	65685913	BASIC	10
16407881	65611140	BASIC	10
16407882	65685914	BASIC	10
16407888	65685926	BASIC	10
16407891	65685934	MED CHECK VERIFIED	7
16407892	65685934	BASIC	10
16407893	65685935	MED CHECK VERIFIED	7
16407894	65685935	BASIC	10
16407901	65598903	BASIC	10
16407902	65685949	MED CHECK VERIFIED	7
16407903	65685949	BASIC	10
16407904	65685950	BASIC	10
16407905	65685951	MED CHECK VERIFIED	7
16407906	65685951	BASIC	10
16407907	65685952	MED CHECK VERIFIED	7
16407912	65685967	MED CHECK VERIFIED	7
16407913	65685968	MED CHECK VERIFIED	7
16407914	65685968	BASIC	10
16407915	65685969	BASIC	10
16407920	65685984	FARM	3
16407921	65686221	FARM	4
16407922	65686222	FARM	4
16407923	65686240	FARM	3
16407925	65686436	YES	1
16407926	65686436	YES	2
16407927	65686461	YES	1
16407928	65686461	YES	2
16407929	65686724	YES	1
16407930	65686724	YES	2
16407931	65686729	YES	1
16407932	65686729	YES	2
16407933	65688021	C	1
16407934	65688022	C	1
16407935	65688044	C	1
16407936	65688045	C	1
16407937	65688171	C	10
16407938	65688172	C	10
16407939	65688173	C	10
16407940	65688175	C	10
16407943	65688181	C	10
16407949	65689211	3200	1
16407950	65689211	UT	2
16407951	65689237	3200	1
16407952	65689237	UT	2
16407953	65689251	3206	1
16407954	65689279	3206	1
16407956	65689282	FARM	3
16407957	65689290	3206	1
16407958	65689291	3206	1
16407959	65689292	3206	1
16407960	65689293	3206	1
16407961	65689300	ANNUAL	1
16407962	65689300	2484664	2
16407963	65689300	PRIVATE	3
16407964	65689300	A	4
16407965	65689300	P	5
16407966	65689302	3200	1
16407967	65689302	UT	2
16407968	65689303	3200	1
16407969	65689303	D	2
16407970	65690140	FARM	3
16407971	65690247	FARM	3
16407972	65690248	FARM	3
16407973	65690249	FARM	3
16407974	65589660	I	1
16407975	65677830	I	1
16407976	65690869	I	1
16407978	65690894	I	1
16407979	65644436	I	1
16407980	65690913	I	1
16407981	65690915	I	1
16407983	65690918	I	1
16407984	65690920	I	1
16407985	65690931	I	1
16407986	65690932	I	1
16407987	65690933	I	1
16407989	65690935	I	1
16407990	65690937	I	1
16407991	65690938	I	1
16407992	65690939	I	1
16407993	65690940	I	1
16407994	65690941	I	1
16407996	65691182	NQV	8
16407997	65691215	OIL	6
16407998	65628041	MEC CHECK CONFIRMED CDLIS	7
16407999	65691990	26215397 SEP	1
16408000	65691990	YES	3
16408001	65691990	NO	4
16408002	65691993	26553437 DEC	1
16408003	65691993	YES	3
16408004	65691993	NO	4
16408005	65692129	YES	3
16408006	65692129	YES	4
16408007	65564465	SB/DD	1
16408008	65697072	SB/DD	1
16408011	65526439	SB	1
16408016	65609323	SB	1
16408017	65669554	SB	1
16408026	65669534	CELL PHONE	1
16408031	65609314	SB	1
16408033	65564473	SB	1
16408034	65609279	SB	1
16408035	65609320	SB	1
16408040	65697112	SB	1
16408042	65526384	SB	1
16408043	65564452	SB	1
16408044	65697127	SB	1
16408046	65697129	SB	1
16408048	65526389	SB	1
16408050	65697134	SB	1
16408052	65555187	MEDICAL CARD CONFIRMED	7
16408053	65555200	MEDICAL CARD CONFIRMED	7
16408054	65595782	MEDICAL CARD CONFIRMED	7
16408055	65595790	MEDICAL CARD CONFIRMED	7
16408056	65595791	MEDICAL CARD CONFIRMED	7
16408057	65633128	MEDICAL CARD CONFIRMED	7
16408058	65633129	MEDICAL CARD CONFIRMED	7
16408059	65633130	MEDICAL CARD CONFIRMED	7
16408060	65633131	MEDICAL CARD CONFIRMED	7
16408061	65633148	MEDICAL CARD CONFIRMED	7
16408062	65697186	MEDICAL CARD CONFIRMED	7
16408063	65697187	MEDICAL CARD CONFIRMED	7
16408064	65697202	MEDICAL CARD CONFIRMED	7
16408065	65697204	MEDICAL CARD CONFIRMED	7
16408066	65697210	MEDICAL CARD CONFIRMED	7
16408069	65697222	MEDICAL CARD CONFIRMED	7
16408071	65697280	1	1
16408073	65697285	1	1
16408074	65669913	5	1
16408075	65697286	4	1
16408084	65697311	2	1
16408085	65697312	2	1
16408088	65683408	2	1
16408089	65683423	2	1
16408091	65697794	TM40	1
16408092	65697795	TM40	1
16408093	65697807	TM40	1
16408094	65697808	TM40	1
16408096	65697821	TM40	1
16408100	65633722	TM40	1
16408113	65633957	TM40	1
16408116	65697917	TM40	1
16408117	65697918	TM40	1
16408118	65655287	TM40	1
16408119	65698051	MEC CHECK VERIFIED	7
16408120	65635050	GAS2019	1
16408121	65698864	TPK18	3
16408122	65584546	TIMBER 19	1
16408123	65635102	GAS2019	1
16408124	65635114	TIMBER19	1
16408127	65635078	MEC CHECK-CONFIRMED	7
16408128	65635079	MEC CHECK-CONFIRMED	7
16408129	65671452	MEC CHECK-CONFIRMED	7
16408132	65698887	GAS2019	1
16408134	65698915	GAS2019	1
16408135	65584561	TPK18	3
16408136	65635099	TPK18	3
16408137	65635111	TPK18	3
16408138	65635122	TPK18	3
16408139	65671351	TPK18	3
16408140	65698922	MEC CHECK-CONFIRMED	7
16408141	65698923	MEC CHECK-CONFIRMED	7
16408142	65698925	MEC CHECK-CONFIRMED	7
16408143	65635040	TPK18	3
16408144	65635055	TPK18	3
16408145	65635064	TPK18	3
16408146	65698944	MED CHECK CONFIRMED 1-17-2019@1342	7
16408147	65698973	MED CHECKS CONFIRMED 1-18-2019@1300	7
16408150	65699013	7200	9
16408151	65699013	HW	10
16408154	65699029	6400	9
16408155	65699029	HW	10
16408172	65699268	RADAR	1
16408173	65699269	RADAR	1
16408174	65699270	RADAR	1
16408175	65699318	RADAR	1
16408177	65699726	BASIC	10
16408178	65699727	BASIC	10
16408179	65699728	BASIC	10
16408180	65543835	BASIC	10
16408182	65543720	BASIC	10
16408183	65699734	BASIC	10
16408184	65611232	BASIC	10
16408185	65672799	BASIC	10
16408186	65598748	BASIC	10
16408187	65598678	BASIC	10
16408188	65571336	BASIC	10
16408189	65685873	BASIC	10
16408191	65699743	BASIC	10
16408192	65699744	BASIC	10
16408193	65699745	BASIC	10
16408195	65699751	BASIC	10
16408196	65699754	BASIC	10
16408198	65672619	BASIC	10
16408200	65585190	BASIC	10
16408201	65585220	BASIC	10
16408203	65685925	BASIC	10
16408204	65685940	BASIC	10
16408207	65699773	BASIC	10
16408208	65699774	BASIC	10
16408209	65699776	MED CHECK VERIFIED	7
16408210	65699777	MED CHECK VERIFIED	7
16408212	65699788	BASIC	10
16408213	65699789	BASIC	10
16408214	65699790	BASIC	10
16408215	65699791	BASIC	10
16408216	65685825	BASIC	10
16408217	65571305	BASIC	10
16408218	65623887	BASIC	10
16408219	65672618	BASIC	10
16408220	65699795	BASIC	10
16408221	65543984	BASIC	10
16408223	65585334	BASIC	10
16408224	65685840	BASIC	10
16408225	65699797	BASIC	10
16408226	65699798	BASIC	10
16408228	65658454	BASIC	10
16408231	65685954	BASIC	10
16408232	65685955	BASIC	10
16408234	65685936	BASIC	10
16408235	65685937	BASIC	10
16408237	65685956	BASIC	10
16408239	65699801	BASIC	10
16408240	65699802	BASIC	10
16408241	65699803	BASIC	10
16408242	65623716	BASIC	10
16408245	65699805	BASIC	10
16408247	65685841	BASIC	10
16408250	65685862	BASIC	10
16408252	65699811	BASIC	10
16408254	65699813	BASIC	10
16408255	65685890	BASIC	10
16408257	65685910	BASIC	10
16408260	65685924	BASIC	10
16408261	65699820	BASIC	10
16408263	65585279	BASIC	10
16408264	65699822	BASIC	10
16408265	65699855	MEC CHECK - CONFIRMED	7
16408272	65612356	2019-02	1
16408278	65701776	3206	1
16408279	65701777	3200	1
16408280	65701777	D	2
16408281	65702697	FY17 HP TACT	1
16408283	65702699	FY17 HP TACT	1
16408285	65702701	FY17 HP TACT	1
16408286	65702702	FY17 HP TACT	1
16408290	65560433	I	1
16408291	65644540	I	1
16408292	65627014	I	1
16408293	65690943	I	1
16408295	65577355	I	1
16408297	65707467	RADAR	1
16408298	65707469	RADAR	1
16408325	65709067	MEC CHECK-CONFIRMED	7
16408326	65709069	MEC CHECK-CONFIRMED	7
16408327	65709079	MEC CHECK-NOT CONFIRMED	7
16408328	65709081	MEC CHECK-NOT CONFIRMED	7
16408329	65709082	MEC CHECK-CONFIRMED	7
16408330	65709088	MEC CHECK-CONFIRMED	7
16408331	65709089	MEC CHECK-CONFIRMED	7
16408333	65709098	MEC CHECK-CONFIRMED	7
16408334	65709099	MEC CHECK-NOT CONFIRMED	7
16408337	65709178	TM40	1
16408338	65709187	TM40	1
16408339	65709189	TM40	1
16408341	65709196	TM40	1
16408342	65709197	TM40	1
16408344	65709207	TM40	1
16408345	65709208	TM40	1
16408346	65709209	TM40	1
16408347	65709210	TM40	1
16408348	65655280	TM40	1
16408349	65709217	TM40	1
16408350	65709222	TM40	1
16408352	65709224	TM40	1
16408353	65709225	TM40	1
16408355	65709227	TM40	1
16408356	65709228	TM40	1
16408359	65709233	TM40	1
16408360	65709238	TM40	1
16408361	65709239	TM40	1
16408362	65709240	TM40	1
16408365	65709243	TM40	1
16408366	65709246	TM40	1
16408367	65709247	TM40	1
16408368	65709248	TM40	1
16408369	65709253	TM40	1
16408370	65709254	TM40	1
16408371	65709255	TM40	1
16408372	65709256	TM40	1
16408373	65709257	TM40	1
16408374	65709266	TM40	1
16408375	65709267	TM40	1
16408376	65709268	T198	1
16408377	65709269	T198	1
16408378	65709270	T198	1
16408379	65709275	TM40	1
16408380	65709276	TM40	1
16408381	65709277	TM40	1
16408382	65709278	TM40	1
16408383	65709279	T198	1
16408384	65709280	T198	1
16408386	65709284	TM40	1
16408387	65709285	TM40	1
16408388	65709286	TM40	1
16408389	65709287	TM40	1
16408390	65709288	TM40	1
16408393	65709296	TM40	1
16408394	65709297	TM40	1
16408395	65709298	TM40	1
16408396	65709299	TM40	1
16408397	65709300	TM40	1
16408398	65709301	TM40	1
16408399	65709302	TM40	1
16408400	65709307	TM40	1
16408401	65709310	TM40	1
16408402	65709311	TM40	1
16408403	65709314	T627	1
16408404	65709315	T627	1
16408405	65566244	TM40	1
16408406	65709321	TM40	1
16408407	65709322	TM40	1
16408408	65709323	TM40	1
16408409	65709326	TM40	1
16408411	65709328	TM40	1
16408412	65709329	TM40	1
16408413	65709341	TM40	1
16408414	65709342	TM40	1
16408415	65709343	TM40	1
16408416	65709344	TM40	1
16408417	65709345	TM40	1
16408419	65709347	TM40	1
16408420	65709348	TM40	1
16408421	65709349	TM40	1
16408422	65709350	TM40	1
16408423	65709351	TM40	1
16408425	65709353	TM40	1
16408426	65709354	TM40	1
16408429	65709364	TM40	1
16408430	65709365	TM40	1
16408431	65709370	TM40	1
16408432	65709371	TM40	1
16408433	65709372	TM40	1
16408434	65709380	TM40	1
16408435	65709382	TM40	1
16408436	65709383	TM40	1
16408437	65709384	TM40	1
16408438	65709385	TM40	1
16408439	65709386	TM40	1
16408440	65709387	TM40	1
16408441	65709388	TM40	1
16408443	65709390	TM40	1
16408444	65709391	TM40	1
16408445	65709392	TM40	1
16408447	65709408	TM40	1
16408448	65709423	TM40	1
16408449	65709424	TM40	1
16408450	65709425	TM40	1
16408451	65709426	TM40	1
16408454	65709436	TM40	1
16408455	65709437	TM40	1
16408457	65709453	TM40	1
16408458	65709454	TM40	1
16408460	65709463	TM40	1
16408461	65709464	TM40	1
16408463	65709466	TM40	1
16408465	65709469	TM40	1
16408466	65709470	TM40	1
16408468	65709483	TM40	1
16408470	65709485	TM40	1
16408471	65709487	TM40	1
16408473	65709489	TM40	1
16408474	65709498	TM40	1
16408475	65709499	TM40	1
16408476	65709500	TM40	1
16408477	65709501	TM40	1
16408479	65709521	TM40	1
16408480	65709522	TM40	1
16408481	65709523	TM40	1
16408482	65709524	TM40	1
16408483	65709536	TM40	1
16408484	65709537	TM40	1
16408485	65709538	TM40	1
16408486	65709539	TM40	1
16408487	65709540	TM40	1
16408488	65709541	TM40	1
16408489	65709542	TM40	1
16408490	65709543	TM40	1
16408492	65709545	TM40	1
16408493	65709546	TM40	1
16408495	65709548	TM40	1
16408496	65709557	TM40	1
16408498	65709561	TM40	1
16408499	65709562	TM40	1
16408500	65709565	TM40	1
16408501	65709566	TM40	1
16408502	65709569	TM40	1
16408505	65709572	TM40	1
16408509	65709580	TM40	1
16408510	65709590	TM40	1
16408511	65709591	TM40	1
16408512	65709592	TM40	1
16408513	65709593	TM40	1
16408515	65709599	TM40	1
16408516	65709600	TM40	1
16408517	65709601	TM40	1
16408519	65709734	MEC CHECK - CONFIRMED	7
16408520	65635049	GAS2019	1
16408522	65710643	MEC CHECK CONFIRMED	7
16408523	65710645	GAS2019	1
16408524	65710664	GAS2019	1
16408525	65710665	GAS2019	1
16408526	65710666	GAS2019	1
16408528	65610230	TPK18	3
16408529	65671369	TPK18	3
16408530	65710671	TPK18	3
16408531	65710672	TPK18	3
16408532	65635065	TPK18	3
16408533	65685107	TPK18	3
16408534	65685098	TPK18	3
16408535	65685132	GAS2019	1
16408536	65710700	TPK18	3
16408537	65710703	MEC CHECK-CONFIRMED	7
16408539	65710706	MEC CHECK - CONFIRMED	7
16408540	65710707	GAS2019	1
16408541	65710716	GAS2019	1
16408542	65699173	MX	10
16408543	65699199	MX	10
16408544	65699202	MX	10
16408545	65699203	MX	10
16408546	65710835	MX	10
16408547	65710924	MX	10
16408548	65710931	MX	10
16408549	65710951	MX	10
16408550	65635393	MX	10
16408551	65710996	MX	10
16408552	65710997	MX	10
16408553	65711026	MX	10
16408554	65636425	BASIC	10
16408555	65711338	BASIC	10
16408556	65623629	BASIC	10
16408557	65585318	BASIC	10
16408560	65711339	BASIC	10
16408561	65711343	BASIC	10
16408562	65711344	BASIC	10
16408563	65711347	BASIC	10
16408564	65711348	BASIC	10
16408566	65711355	BASIC	10
16408573	65623789	BASIC	10
16408575	65711377	BASIC	10
16408576	65711378	BASIC	10
16408577	65711380	BASIC	10
16408580	65711382	BASIC	10
16408584	65711388	BASIC	10
16408585	65585043	BASIC	10
16408586	65685731	BASIC	10
16408587	65711392	34080  39380  85780	9
16408588	65711397	BASIC	10
16408589	65711398	BASIC	10
16408590	65711404	BASIC	10
16408591	65711405	BASIC	10
16408592	65711407	BASIC	10
16408593	65711413	BASIC	10
16408596	65711416	BASIC	10
16408597	65711417	BASIC	10
16408598	65711418	BASIC	10
16408600	65711420	BASIC	10
16408601	65711421	BASIC	10
16408602	65685845	BASIC	10
16408604	65711430	BASIC	10
16408609	65711446	BASIC	10
16408610	65711447	GROSS WEIGHT WAS 79,260 LBS.	7
16408611	65711447	BASIC	10
16408612	65711448	BASIC	10
16408613	65711449	BASIC	10
16408614	65711454	BASIC	10
16408615	65585023	BASIC	10
16408616	65585099	BASIC	10
16408617	65611271	BASIC	10
16408618	65611288	BASIC	10
16408619	65658305	BASIC	10
16408622	65711477	BASIC	10
16408624	65711481	BASIC	10
16408625	65711482	BASIC	10
16408627	65711484	BASIC	10
16408629	65711486	BASIC	10
16408630	65711487	BASIC	10
16408631	65711488	BASIC	10
16408632	65711493	BASIC	10
16408634	65711498	BASIC	10
16408635	65711499	BASIC	10
16408636	65711500	BASIC	10
16408639	65711501	BASIC	10
16408640	65711502	BASIC	10
16408642	65672635	BASIC	10
16408643	65711506	BASIC	10
16408644	65711507	BASIC	10
16408645	65711508	BASIC	10
16408646	65711509	BASIC	10
16408650	65711512	MEC CHECK-CONFIRMED	7
16408651	65711513	BASIC	10
16408652	65711514	BASIC	10
16408654	65672713	BASIC	10
16408656	65711528	76220	9
16408658	65585194	BASIC	10
16408662	65711539	BASIC	10
16408663	65711540	BASIC	10
16408667	65636471	BASIC	10
16408668	65672766	BASIC	10
16408671	65685824	BASIC	10
16408673	65611135	BASIC	10
16408674	65636481	BASIC	10
16408675	65636455	BASIC	10
16408676	65672729	BASIC	10
16408691	65598852	BASIC	10
16408695	65585124	BASIC	10
16408697	65623745	BASIC	10
16408698	65623761	BASIC	10
16408699	65685972	BASIC	10
16408703	65598850	BASIC	10
16408714	65611267	BASIC	10
16408716	65623660	BASIC	10
16408717	65623662	BASIC	10
16408719	65571358	BASIC	10
16408722	65598892	BASIC	10
16408723	65598894	BASIC	10
16408724	65598896	BASIC	10
16408726	65685941	BASIC	10
16408734	65685784	BASIC	10
16408735	65699809	BASIC	10
16408743	65585278	BASIC	1
16408744	65585306	BASIC	1
16408745	65598878	BASIC	10
16408747	65713067	MEC CHECK-NO CONTACT	7
16408748	65713097	MEC CHECK-NO CONTACT	7
16408749	65713111	YES	1
16408750	65713111	YES	2
16408751	65713323	YES	1
16408752	65713323	YES	2
16408753	65713344	YES	1
16408754	65713344	YES	2
16408755	65713461	MEC CHECK-NO CONTACT	7
16408756	65713525	MEC CHECK-NO CONTACT	7
16408759	65713552	YES	1
16408760	65713552	YES	2
16408761	65713590	YES	1
16408762	65713590	YES	2
16408767	65713681	YES	1
16408768	65713681	YES	2
16408769	65713758	YES	1
16408770	65713758	YES	2
16408771	65714047	S DOT NUMBER:	1
16408773	65714933	C	1
16408774	65714934	C	1
16408775	65714935	C	1
16408776	65714936	C	1
16408777	65714937	C	1
16408778	65714938	C	1
