INSP_STUDY_ID	INSPECTION_ID	STUDY	SEQ_NO
16402129	65557128	BASIC	10
16402130	65543709	BASIC	10
16402133	65557129	BASIC	10
16402134	65543848	BASIC	10
16402135	65543856	BASIC	10
16402136	65543857	BASIC	10
16402137	65527759	BASIC	10
16402138	65543986	BASIC	10
16402142	65527760	BASIC	10
16402143	65527777	BASIC	10
16402146	65543859	MED CHECK VERIFIED	1
16402147	65543859	BASIC	2
16402148	65543996	BASIC	1
16402149	65543866	BASIC	10
16402151	65543869	BASIC	10
16402152	65543870	BASIC	10
16402153	65557142	MED CHECK VERIFIED	1
16402154	65557142	BASIC	2
16402155	65557143	BASIC	1
16402157	65543871	BASIC	10
16402158	65557145	BASIC	10
16402159	65527796	BASIC	10
16402160	65557146	BASIC	1
16402161	65544022	BASIC	10
16402162	65544031	BASIC	10
16402165	65557151	BASIC	10
16402166	65557153	BASIC	10
16402167	65543979	BASIC	10
16402168	65543980	BASIC	10
16402169	65557154	BASIC	10
16402170	65557155	BASIC	10
16402173	65544047	BASIC	10
16402175	65557156	BASIC	10
16402177	65557158	BASIC	10
16402178	65557159	BASIC	10
16402179	65557165	BASIC	10
16402180	65557166	BASIC	10
16402181	65557167	BASIC	10
16402182	65557168	BASIC	10
16402183	65544049	BASIC	10
16402184	65543919	BASIC	10
16402186	65557170	BASIC	10
16402187	65527884	BASIC	10
16402189	65527886	BASIC	10
16402190	65527904	BASIC	10
16402192	65557176	BASIC	10
16402193	65557177	BASIC	10
16402195	65543930	BASIC	10
16402196	65557179	BASIC	10
16402197	65557180	BASIC	10
16402198	65557182	BASIC	10
16402200	65543739	BASIC	10
16402201	65543749	BASIC	10
16402204	65527998	BASIC	10
16402205	65557187	BASIC	10
16402206	65543940	BASIC	10
16402208	65557189	BASIC	10
16402209	65557191	BASIC	10
16402210	65557192	BASIC	10
16402216	65557304	MEC CHECK-CONFIRMED	7
16402217	65557308	MEC CHECK-NO CONTACT	7
16402218	65557364	YES	1
16402219	65557364	YES	2
16402234	65564427	SB	1
16402235	65564427	NO LICENSE	2
16402236	65564427	MED CARD VIO	3
16402237	65564429	SB DD	1
16402238	65564430	SB DD	1
16402239	65564431	SB DD	1
16402243	65564435	SB	1
16402246	65564438	SB DD	1
16402247	65564439	SB DD	1
16402249	65564441	SB	1
16402252	65564448	SB	1
16402260	65564462	SB	1
16402262	65540677	SB	1
16402264	65540669	SB	1
16402267	65564472	SB	1
16402269	65564474	SB	1
16402271	65540748	SB	1
16402282	65555151	SB	1
16402284	65540711	S/B	1
16402286	65564494	SB	1
16402287	65564495	SB	1
16402289	65564498	SB	1
16402290	65564502	SB	1
16402291	65564503	SB	1
16402292	65564504	SB	1
16402295	65564509	SB	1
16402296	65564510	SB	1
16402297	65564511	SB	1
16402298	65564512	SB	1
16402299	65540693	SB	1
16402301	65564515	SB	1
16402308	65564524	SB	1
16402309	65564527	SB	1
16402310	65564529	SB	1
16402313	65564532	2	1
16402314	65564533	5	1
16402318	65564537	4	1
16402320	65564539	5	1
16402322	65564541	5	1
16402324	65564543	2	1
16402325	65564544	2	1
16402326	65564545	4	1
16402336	65564554	4	1
16402337	65564555	4	1
16402338	65564556	4	1
16402343	65564561	4	1
16402344	65564562	5	1
16402350	65564568	5	1
16402351	65564569	5	1
16402352	65564570	5	1
16402355	65564573	2	1
16402356	65564574	1	1
16402357	65564575	1	1
16402358	65564576	1	1
16402359	65564577	2	1
16402361	65564579	1	1
16402362	65564580	1	1
16402363	65564581	1	1
16402384	65564601	2	1
16402385	65564602	2	1
16402386	65564603	2	1
16402387	65564604	1	1
16402388	65564605	1	1
16402389	65564606	1	1
16402391	65564608	5	1
16402392	65564609	2	1
16402394	65564611	2	1
16402395	65564612	2	1
16402399	65564617	5	1
16402400	65564618	5	1
16402401	65564619	2	1
16402402	65564620	2	1
16402406	65564625	2	1
16402415	65564634	1	1
16402416	65564635	1	1
16402417	65564636	2	1
16402418	65564637	2	1
16402423	65564642	2	1
16402425	65564644	2	1
16402428	65564648	1	1
16402429	65564649	1	1
16402430	65564651	2	1
16402431	65564652	2	1
16402432	65564653	2	1
16402433	65564654	1	1
16402434	65564655	1	1
16402436	65564657	1	1
16402438	65564659	5	1
16402439	65564660	5	1
16402441	65564662	5	1
16402466	65564687	1	1
16402467	65564688	4	1
16402469	65564690	2	1
16402471	65564692	5	1
16402472	65564693	5	1
16402478	65564699	5	1
16402479	65564700	5	1
16402480	65564701	1	1
16402482	65564703	2	1
16402483	65564704	2	1
16402484	65564705	2	1
16402487	65564709	7	1
16402488	65564710	1	1
16402490	65564712	5	1
16402492	65564714	7	1
16402493	65564715	1	1
16402494	65564716	7	1
16402495	65564717	7	1
16402501	65564727	1	1
16402502	65564728	1	1
16402503	65564729	1	1
16402506	65564732	2	1
16402519	65564750	1	1
16402520	65564751	2	1
16402521	65564752	2	1
16402522	65564753	2	1
16402523	65564754	2	1
16402524	65564755	1	1
16402525	65564756	1	1
16402526	65564757	1	1
16402535	65564767	2	1
16402540	65564775	2	1
16402542	65564777	1	1
16402543	65564778	1	1
16402544	65564779	1	1
16402545	65564780	2	1
16402546	65564781	2	1
16402555	65564790	2	1
16402557	65564792	1	1
16402558	65564793	1	1
16402561	65564796	2	1
16402562	65564797	2	1
16402567	65564802	1	1
16402568	65564803	1	1
16402570	65564806	2	1
16402571	65564807	1	1
16402578	65564814	2	1
16402579	65564815	2	1
16402580	65564816	2	1
16402581	65564817	1	1
16402585	65564822	2	1
16402587	65564824	2	1
16402588	65564825	2	1
16402593	65564830	1	1
16402598	65564835	1	1
16402599	65564836	1	1
16402600	65564837	2	1
16402607	65564844	2	1
16402608	65564845	2	1
16402613	65564851	2	1
16402615	65564853	2	1
16402618	65564856	1	1
16402619	65564857	1	1
16402624	65564862	2	1
16402628	65564867	6	1
16402629	65564868	1	1
16402630	65564869	2	1
16402633	65564872	2	1
16402644	65564883	2	1
16402645	65564884	2	1
16402646	65564885	2	1
16402647	65564886	2	1
16402654	65564895	2	1
16402656	65564897	2	1
16402657	65564898	1	1
16402658	65564899	2	1
16402659	65564900	2	1
16402661	65564902	2	1
16402670	65564911	2	1
16402671	65564912	2	1
16402672	65564913	2	1
16402673	65564914	2	1
16402677	65564918	2	1
16402698	65564940	2	1
16402699	65564941	2	1
16402701	65564943	2	1
16402702	65564944	2	1
16402703	65564945	1	1
16402717	65564959	2	1
16402718	65564960	2	1
16402719	65564961	2	1
16402724	65564966	2	1
16402727	65564970	2	1
16402728	65564971	2	1
16402730	65564973	2	1
16402734	65564977	2	1
16402737	65564980	2	1
16402740	65564983	2	1
16402743	65564986	2	1
16402746	65564989	2	1
16402747	65564990	2	1
16402757	65564999	1	1
16402758	65565000	2	1
16402759	65565001	2	1
16402761	65565003	2	1
16402763	65565005	2	1
16402764	65565006	2	1
16402766	65565008	2	1
16402768	65565010	2	1
16402769	65565011	2	1
16402770	65565012	2	1
16402771	65565013	2	1
16402786	65565028	2	1
16402788	65565030	2	1
16402789	65565031	2	1
16402792	65565035	2	1
16402793	65565036	3	1
16402794	65565037	3	1
16402802	65565046	1	1
16402803	65565048	2	1
16402805	65565050	2	1
16402809	65565054	2	1
16402810	65565055	2	1
16402812	65565058	3	1
16402813	65565059	2	1
16402814	65565060	2	1
16402825	65565071	2	1
16402826	65565072	2	1
16402827	65565073	2	1
16402831	65565077	2	1
16402832	65565078	2	1
16402835	65565080	3	1
16402847	65565092	2	1
16402848	65565093	2	1
16402873	65565120	1	1
16402874	65565121	2	1
16402875	65565122	2	1
16402883	65565130	1	1
16402884	65565131	1	1
16402886	65565133	1	1
16402889	65565136	2	1
16402890	65565137	2	1
16402891	65565138	6	1
16402892	65565139	2	1
16402895	65565143	2	1
16402896	65565144	1	1
16402897	65565145	1	1
16402901	65565149	2	1
16402902	65565150	2	1
16402904	65565152	2	1
16402906	65565154	2	1
16402907	65565155	2	1
16402911	65565159	2	1
16402914	65565162	2	1
16402915	65565163	1	1
16402916	65565164	2	1
16402919	65565167	2	1
16402920	65565168	2	1
16402922	65565170	1	1
16402925	65565173	2	1
16402927	65565175	1	1
16402928	65565177	1	1
16402929	65565179	2	1
16402930	65565180	2	1
16402931	65565181	2	1
16402932	65565182	1	1
16402933	65565183	1	1
16402934	65565184	2	1
16402935	65565185	2	1
16402939	65565189	5	1
16402942	65565192	2	1
16402943	65565193	2	1
16402944	65565194	2	1
16402947	65565197	1	1
16402948	65565198	1	1
16402949	65565199	5	1
16402951	65565201	1	1
16402952	65565202	1	1
16402956	65565208	2	1
16402957	65565209	2	1
16402958	65565210	2	1
16402961	65565213	2	1
16402962	65565214	1	1
16402965	65565219	2	1
16402969	65565224	1	1
16402976	65565236	2	1
16402978	65565238	2	1
16402983	65565247	1	1
16402985	65565249	1	1
16402986	65565250	3	1
16402993	65565259	3	1
16402995	65565261	3	1
16403001	65565271	2	1
16403002	65565272	2	1
16403003	65565273	2	1
16403010	65565283	2	1
16403012	65565285	2	1
16403017	65565291	1	1
16403018	65565292	1	1
16403019	65565293	1	1
16403020	65565295	2	1
16403021	65565296	2	1
16403049	65565325	1	1
16403050	65565326	1	1
16403061	65565341	2	1
16403064	65565348	2	1
16403065	65565349	4	1
16403067	65565351	4	1
16403068	65565356	4	1
16403069	65565357	4	1
16403074	65565366	5	1
16403075	65565367	5	1
16403077	65565373	5	1
16403078	65565374	2	1
16403080	65565380	4	1
16403081	65565381	4	1
16403082	65565382	4	1
16403083	65565383	5	1
16403084	65565388	1	1
16403085	65565390	1	1
16403087	65565392	5	1
16403089	65565394	5	1
16403092	65565401	2	1
16403093	65565402	2	1
16403095	65565404	5	1
16403096	65565405	5	1
16403103	65565411	2	1
16403104	65565412	5	1
16403105	65565413	5	1
16403107	65565415	1	1
16403108	65565416	1	1
16403135	65565464	2	1
16403136	65565471	2	1
16403139	65565474	4	1
16403140	65565475	4	1
16403142	65565477	4	1
16403143	65565478	5	1
16403179	65565514	2	1
16403183	65565518	2	1
16403184	65566127	MEC CHECK-CONFIRMED	7
16403185	65566128	MEC CHECK-CONFIRMED	7
16403190	65566202	TM40	1
16403191	65566205	TM40	1
16403192	65566206	TM40	1
16403193	65566207	TM40	1
16403194	65566208	TM40	1
16403198	65566210	TM40	1
16403199	65566211	TM40	1
16403200	65566212	TM40	1
16403201	65566213	TM40	1
16403202	65566226	TM40	1
16403203	65566227	TM40	1
16403204	65566228	TM40	1
16403208	65566234	TM40	1
16403209	65566235	TM40	1
16403210	65566236	TM40	1
16403211	65566237	TM40	1
16403214	65566243	TM40	1
16403216	65566245	TM40	1
16403217	65566253	TM40	1
16403218	65566254	TM40	1
16403220	65566258	TM40	1
16403221	65566259	TM40	1
16403222	65566260	TM40	1
16403223	65566261	TM40	1
16403224	65566262	TM40	1
16403225	65566263	TM40	1
16403226	65566264	TM40	1
16403227	65566265	TM40	1
16403228	65566266	TM40	1
16403232	65566271	T198	1
16403233	65566273	TM40	1
16403234	65566274	TM40	1
16403235	65566275	TM40	1
16403236	65566276	TM40	1
16403237	65566277	TM40	1
16403238	65566278	TM40	1
16403239	65566279	TM40	1
16403243	65566281	TM40	1
16403244	65566282	TM40	1
16403245	65566283	TM40	1
16403246	65566288	TM40	1
16403247	65566289	TM40	1
16403248	65566290	TM40	1
16403249	65566292	TM40	1
16403250	65566293	TM40	1
16403251	65566294	TM40	1
16403252	65566295	TM40	1
16403255	65566303	TM40	1
16403257	65566307	TM40	1
16403258	65566308	TM40	1
16403259	65566310	TM40	1
16403260	65566311	TM40	1
16403261	65566312	TM40	1
16403262	65566313	TM40	1
16403263	65566314	TM40	1
16403264	65566315	TM40	1
16403265	65566316	TM40	1
16403266	65566317	TM40	1
16403267	65566318	TM40	1
16403268	65566319	TM40	1
16403272	65566323	TM40	1
16403273	65566324	TM40	1
16403274	65566325	TM40	1
16403275	65566326	TM40	1
16403276	65566327	TM40	1
16403277	65566328	TM40	1
16403278	65566329	TM40	1
16403280	65566330	TM40	1
16403281	65566331	TM40	1
16403282	65566334	TM40	1
16403283	65566335	TM40	1
16403284	65566339	TM40	1
16403285	65566340	TM40	1
16403286	65566341	TM40	1
16403287	65566342	TM40	1
16403288	65566343	TM40	1
16403289	65566344	TM40	1
16403290	65566345	TM40	1
16403291	65566347	TM40	1
16403292	65566348	TM40	1
16403293	65566349	TM40	1
16403299	65566360	TM40	1
16403300	65566361	TM40	1
16403301	65566362	TM40	1
16403302	65566363	TM40	1
16403307	65566372	TM40	1
16403308	65566377	TM40	1
16403309	65566378	TM40	1
16403310	65566379	TM40	1
16403311	65566380	TM40	1
16403312	65566384	TM40	1
16403313	65566392	TM40	1
16403314	65566393	TM40	1
16403316	65566395	TM40	1
16403319	65566402	TM40	1
16403320	65566403	TM40	1
16403321	65566404	TM40	1
16403322	65566405	TM40	1
16403324	65566413	TM40	1
16403325	65566414	TM40	1
16403326	65566419	TM40	1
16403327	65566422	TM40	1
16403328	65566423	TM40	1
16403329	65566425	TM40	1
16403330	65566426	TM40	1
16403331	65566427	TM40	1
16403332	65566428	TM40	1
16403333	65566429	TM40	1
